reference,loan_id,date,type,amount
TX-1001,L-001,2026-09-01,disbursement,10000.00
TX-1002,L-001,2026-09-02,repayment,1250.00
TX-1003,L-001,2026-09-02,fee,50.00
TX-1004,L-002,2026-09-03,disbursement,8000.00
TX-1005,L-002,2026-09-04,repayment,600.00
TX-1006,L-001,2026-09-05,repayment,900.00
TX-1007,L-002,2026-09-06,repayment,700.00
TX-1008,L-003,2026-09-07,repayment,450.00
TX-1009,L-003,2026-09-08,repayment,300.00
TX-1009,L-003,2026-09-08,repayment,300.00
TX-1010,L-004,2026-09-09,repayment,500.00
